Seed,Keyword,Volume,KD%,CPC (USD),Post Type,Priority,Notes
claude ai,how to download file from claude ai,880,22,0.00,Tutorial,High,Low KD + high volume. Step-by-step walkthrough.
claude ai,is claude ai any good to create trading strategies,880,35,0.00,Opinion / Use Case,High,Niche use case. Unique take opportunity. Your experience with AI for business.
claude ai,is claude ai down,880,24,0.00,Skip,,Status page query. Not blog-worthy.
claude ai,is claude.ai down,720,27,0.00,Skip,,Duplicate of above.
claude ai,is claud ai down,140,32,0.00,Skip,,Misspelling of above.
claude ai,what is claude ai good for,590,67,0.37,Listicle / Opinion,Medium,High KD but foundational. List real use cases from your experience.
claude ai,how to use claude ai,480,53,1.81,Tutorial,Medium,Beginner guide. Broad but valuable for SEO authority.
claude ai,how much is claude ai,390,53,1.29,Comparison / Breakdown,Medium,Pricing breakdown. Compare tiers. Add opinion on value.
claude ai,is claude ai better than chatgpt,320,32,0.25,Comparison,High,Low KD + comparison format. Strong opinion piece.
claude ai,can claude ai generate images,210,24,1.88,Feature Explainer,High,Low KD. Explain what it can and can't do. Mention workarounds.
claude ai,what does claude ai do,210,80,0.29,Skip,,Too generic + high KD. Covered by "what is claude ai good for."
claude ai,is claude the best ai,170,,1.25,Opinion / Comparison,Medium,Opinion piece. Compare across use cases. Your honest take.
claude ai,how much does claude ai cost,140,55,1.65,Skip,,Duplicate intent of "how much is claude ai." Write one post covering both.
claude ai,is claude ai safe,140,22,0.00,Opinion / Trust,High,Low KD. Privacy and safety angle. Unique take on AI safety for businesses.
claude ai,what is claude ai used for,140,71,0.40,Skip,,Covered by "what is claude ai good for."
claude ai,does claude ai have a limit,110,22,0.00,Feature Explainer,High,Low KD. Context windows + rate limits + usage caps. Practical info.
claude ai,is claude ai good,110,43,0.30,Opinion,Medium,Short opinion piece or fold into comparison post.
claude ai,what is claude ai best for,110,73,0.53,Skip,,Covered by "what is claude ai good for."
claude ai,who runs claude ai,110,37,0.00,Feature / Company Profile,Low,Could fold into a broader "what is anthropic" post.
claude ai,what is claude ai,5400,77,0.30,Foundational,Low,High volume but KD 77. Write for authority not ranking. Long-term play.
claude ai,who owns claude ai,2900,35,6.68,Foundational,Medium,Surprisingly low KD for the volume. Company profile + funding story.
claude ai,is claude ai free,1000,,2.35,Feature / Pricing,Medium,Fold into pricing post or write standalone free vs paid guide.
claude ai,who makes claude ai,1000,83,0.39,Skip,,Covered by "who owns claude ai."
claude code,how to use claude code frontend-design plugin,1900,29,0.00,Tutorial,High,"Low KD + huge volume. Step-by-step plugin guide. Unique — nobody's written this well yet."
claude code,can i sync vsstudio and claude code between multiple devices,1600,21,0.00,Tutorial,High,"Low KD + high volume. Multi-device workflow guide. Practical setup tutorial."
claude code,can claude generate images,1000,17,2.60,Feature Explainer,High,"Very low KD. Explain capabilities, limitations, workarounds. Fold in can claude create images (210) and does claude do image generation (260)."
claude code,how to install claude code,1000,23,12.04,Tutorial,High,"Low KD + high volume + high CPC ($12). Getting started guide. Cover Mac, Windows, CLI."
claude code,how to make claude project public,1000,11,0.00,Tutorial,High,"KD 11 — extremely easy to rank. Step-by-step sharing guide."
claude code,is claude code free,880,,3.74,Feature / Pricing,High,"High volume. Cover free vs Pro vs Max. Fold in can i use claude code for free (170), how to get claude code for free (110)."
claude code,how to change model in claude code,720,23,0.00,Tutorial,High,"Low KD. Quick how-to. Cover /model command, config, different model options."
claude code,how to use mcp claude free plan,480,12,0.00,Tutorial,High,"KD 12 — extremely easy. MCP setup walkthrough on free tier. Fold in can claude code use mcp (170), how to add mcp to claude code (110), how to add mcp server to claude code (110), how to add supabase mcp to claude code (170)."
claude code,how to use a different llm with claude code,390,8,0.00,Tutorial,High,"KD 8 — easiest keyword in the set. Custom LLM configuration guide."
claude code,which claude model is best for coding,390,29,5.60,Comparison / Opinion,High,"Low KD + comparison intent. Your honest take on Opus vs Sonnet vs Haiku for different tasks."
claude code,how much is claude code,320,19,5.42,Feature / Pricing,High,"Low KD. Pricing breakdown. Fold in how much does claude code cost (260, KD 21)."
claude code,how to make website with claude,320,27,0.00,Tutorial,High,"Low KD. End-to-end tutorial. Great for showcasing your expertise."
claude code,how to write claude.md,320,27,0.00,Tutorial,High,"Low KD. Very niche Claude Code topic. You literally use this daily — perfect unique take."
claude code,is claude max worth it,260,19,17.61,Opinion / Review,High,"Low KD + very high CPC ($17.61). Honest review with real usage data."
claude code,is claude pro worth it,260,10,7.90,Opinion / Review,High,"KD 10. Same format as above. Cover what you get, when it's worth upgrading."
claude code,how to use claude 3.7 with thinking mode code,210,21,0.00,Tutorial,High,"Low KD. Extended thinking walkthrough with real coding examples."
claude code,how to use echo writing in claude,210,15,0.00,Tutorial,High,"KD 15. Niche feature tutorial."
claude code,how to use links in claude,210,15,0.00,Tutorial,High,"KD 15. Practical tip post."
claude code,does claude train on your data,210,28,0.00,Opinion / Trust,High,"Privacy concern. Address directly with facts + your take. Builds trust."
claude code,does claude code have access to internet,170,8,0.00,Feature Explainer,High,"KD 8. Quick answer + explain what it can and can't do online."
claude code,how does claude code work under the hood,170,30,0.00,Deep Dive / Opinion,High,"Technical explainer. Your unique perspective as a daily power user."
claude code,how many tokens do you get with claude pro,170,12,0.00,Feature / Pricing,High,"KD 12. Token limits explained. Fold into pricing post or standalone."
claude code,how to install claude code on mac,170,16,18.19,Tutorial,High,"KD 16 + $18 CPC. Platform-specific install guide."
claude code,is claude code better than cursor,170,25,16.28,Comparison,High,"Low KD + $16 CPC. Head-to-head comparison with your real experience using both."
claude code,can claude code see images,140,24,0.00,Feature Explainer,High,"Low KD. Multimodal capabilities explained."
claude code,does claude have unlimited image uploads,140,11,0.00,Feature Explainer,High,"KD 11. Quick answer post on upload limits."
claude code,does claude offer student discount,140,19,0.00,Feature / Pricing,Medium,"Low KD. Quick factual post."
claude code,how to install claude code cli,140,18,11.59,Tutorial,High,"KD 18 + $11 CPC. CLI-specific install. Fold into main install guide or standalone."
claude code,how to install claude code on windows,140,25,19.38,Tutorial,High,"$19 CPC! Platform-specific guide."
claude code,how to use claude code in cursor,140,35,6.14,Tutorial,Medium,"Integration guide. Good for capturing Cursor users trying Claude."
claude code,how to use claude code in terminal,140,28,10.88,Tutorial,High,"$10 CPC. Terminal workflow guide."
claude code,how to use claude projects,140,21,4.60,Tutorial,High,"Low KD. Projects feature walkthrough."
claude code,is claude code worth it,140,21,11.11,Opinion / Review,High,"Low KD + $11 CPC. Honest review."
claude code,is claude good for coding,140,34,6.73,Opinion / Comparison,Medium,"Your daily experience. Fold in which claude model is best for coding."
claude code,why is claude code better than cursor,140,22,0.00,Comparison / Opinion,High,"Low KD. Opinionated comparison. Pair with 'is claude code better than cursor.'"
claude code,can claude code search the web,110,13,0.00,Feature Explainer,High,"KD 13. Quick capability explainer."
claude code,does claude have deep research,110,23,0.00,Feature Explainer,High,"Timely — deep research is trending. Explain current state."
claude code,how to add mcp server to claude code,110,24,0.00,Tutorial,Medium,"Fold into MCP mega-post with the other MCP keywords."
claude code,how to use claude computer use,110,21,0.00,Tutorial,High,"Low KD. Computer use is a hot feature. Tutorial + your experience."
claude code,is claude code an ide,110,27,44.77,Opinion / Explainer,High,"$44 CPC! Highest CPC in the entire dataset. Clarify what it is vs IDE."
claude code,what is claude code,2400,57,1.28,Foundational,Medium,"High volume but KD 57. Foundational piece. Long-term authority play."
claude code,how to use claude code,1900,55,1.98,Tutorial,Medium,"High volume but KD 55. Comprehensive guide. Worth writing for authority."
claude code,how to use claude code in vs code,480,48,8.86,Tutorial,Medium,"Mid KD but $8.86 CPC. VS Code integration guide."
claude code,when does claude code usage reset,480,,0.00,Feature Explainer,Medium,"Common question. Quick answer + explain billing cycles."
claude code,how to update claude code,590,33,19.66,Tutorial,Medium,"$19 CPC! Update/upgrade guide."
claude code,how does claude code work,210,42,4.19,Deep Dive,Medium,"Mid KD. Technical overview."
claude code,is claude code open source,210,24,0.00,Feature Explainer,Medium,"Quick factual answer + explain the licensing model."
claude code,what model does claude code use,210,36,5.60,Feature Explainer,Medium,"Fold into 'which model is best for coding' post."
claude code,how to check claude code usage,140,27,0.00,Tutorial,Medium,"Quick how-to on monitoring usage."
claude code,is claude api free,140,33,0.00,Feature / Pricing,Medium,"API pricing breakdown. Fold into broader pricing post."
claude code,is claude open source,390,42,0.00,Feature Explainer,Medium,"Factual post about Anthropic's open source stance."
anthropic,is anthropic publicly traded,1900,33,2.09,Foundational / Finance,High,"Low KD + huge volume. Company profile + IPO status. Fold in will anthropic go public (210), when will anthropic go public (140), is anthropic a publicly traded company (110), is anthropic a public company (720), is anthropic public (210)."
anthropic,is claude free,1900,26,1.34,Feature / Pricing,High,"Low KD + huge volume. Free vs Pro vs Max breakdown. Fold in is claude ai free (1000), is claude code free (880), is claude free to use (140)."
anthropic,is cursor owned by anthropic,720,,0.00,Feature Explainer / Opinion,High,"Trending (Last week). Clarify the relationship. Good for capturing Cursor audience."
anthropic,how to invest in anthropic,480,20,2.84,Foundational / Finance,High,"Low KD. Investment guide — pre-IPO status, funding rounds, Amazon stake. Fold in how to buy anthropic stock (210, KD 24), how to invest in anthropic stock (210, KD 23)."
anthropic,is claude owned by google,260,20,0.00,Feature Explainer,High,"Low KD. Clarify ownership — Google investment vs ownership. Fold in does amazon own anthropic (140), is anthropic owned by amazon (140), how much of anthropic does amazon own (140, KD 27)."
anthropic,how does claude charge,210,27,0.00,Feature / Pricing,High,"Low KD. Billing explainer — tokens, tiers, API pricing. Unique angle from your actual usage."
anthropic,how to get anthropic api key,210,25,1.81,Tutorial,High,"Low KD. Step-by-step API setup guide."
anthropic,how to use claude api,140,30,4.34,Tutorial,Medium,"API getting started tutorial. Fold into api key post or standalone."
anthropic,when will anthropic go public,140,25,2.95,Opinion / Finance,Medium,"Low KD. Fold into main IPO/investment post."
anthropic,what is anthropic,2900,48,1.44,Foundational,Medium,"High volume. Company overview — history, mission, products. Long-term authority piece."
anthropic,what does anthropic do,720,70,1.15,Foundational,Low,"High KD. Covered by 'what is anthropic' post."
anthropic,who founded anthropic,140,56,0.00,Foundational,Low,"Fold into 'what is anthropic' post. Dario and Daniela Amodei background."
atp-claude ai,claude ai for business,,,ATP,Use Case / Opinion,High,"YOUR EXACT POSITIONING. Must-write. How businesses use Claude. Real client examples."
atp-claude ai,how to make money with claude ai,,,ATP,Tutorial / Opinion,High,"Monetization guide. Your real experience building with Claude for clients. Unique angle."
atp-claude ai,claude ai for coding,,,ATP,Tutorial / Use Case,High,"Overlaps SEMRush data. Developer audience. Your daily workflow."
atp-claude ai,claude ai for writing,,,ATP,Tutorial / Use Case,High,"Huge audience. Claude for content, copywriting, emails. Your real usage."
atp-claude ai,claude ai for lawyers,,,ATP,Use Case / Industry,High,"Niche industry post. Ties to your pSEO industry pages strategy."
atp-claude ai,claude ai for finance,,,ATP,Use Case / Industry,High,"Ties to 'trading strategies' keyword (880 vol, KD 35). Financial use cases."
atp-claude ai,claude ai for students,,,ATP,Use Case,Medium,"Education angle. Fold in 'claude ai for students free'. High search implied."
atp-claude ai,claude ai for beginners,,,ATP,Tutorial,Medium,"Beginner guide. Fold in 'claude ai for dummies'. SEO magnet for top-of-funnel."
atp-claude ai,claude ai for developers,,,ATP,Tutorial / Use Case,Medium,"Developer-focused guide. API, Claude Code, MCP setup."
atp-claude ai,claude ai vs perplexity,,,ATP,Comparison,High,"NEW comp not in SEMRush. Different use cases — research vs generation."
atp-claude ai,claude ai vs grok,,,ATP,Comparison,Medium,"NEW comp. Grok is trending. Timely comparison."
atp-claude ai,claude ai vs claude code,,,ATP,Explainer,High,"People don't know the difference. Clear explainer opportunity. Easy to rank."
atp-claude ai,claude ai vs gemini vs chatgpt,,,ATP,Comparison,High,"Three-way comparison. High intent. Comprehensive comparison post."
atp-claude ai,claude ai for mac,,,ATP,Tutorial,Low,"Platform-specific. Fold into install/setup guide."
atp-claude ai,claude ai for windows,,,ATP,Tutorial,Low,"Platform-specific. Fold into install/setup guide."
atp-claude ai,claude ai for desktop,,,ATP,Tutorial,Low,"Fold into 'what is claude desktop' post."
atp-claude code,claude code for non-coders,,,ATP,Tutorial / Opinion,High,"HUGE opportunity. Your positioning is showing founders how to use AI. This is that exact audience. Guide for non-technical people."
atp-claude code,claude code for marketing,,,ATP,Use Case,High,"Marketing use cases — content, SEO, automation. Your daily reality. Fold in 'claude code for product managers'."
atp-claude code,claude code for product managers,,,ATP,Use Case,High,"Non-dev professional use case. Fold into marketing post or standalone."
atp-claude code,can claude code build a website,,,ATP,Tutorial / Opinion,High,"You literally built rsla.io with Claude Code. Perfect unique take with real proof."
atp-claude code,can claude code read pdfs,,,ATP,Feature Explainer,High,"Quick capability post. Practical workflow tips."
atp-claude code,can claude code use other models,,,ATP,Feature Explainer,High,"Ties to SEMRush keyword 'how to use a different llm with claude code' (390 vol, KD 8). Same post."
atp-claude code,what are claude code skills,,,ATP,Feature Explainer,High,"Skills/slash commands explainer. You use these daily."
atp-claude code,claude code vs copilot,,,ATP,Comparison,High,"Major comparison. Copilot is the default for most devs. Head-to-head from real experience."
atp-claude code,claude code vs github copilot,,,ATP,Comparison,High,"Same intent as above. Fold into one post targeting both keywords."
atp-claude code,claude code vs codex,,,ATP,Comparison,High,"OpenAI Codex vs Claude Code. Timely — Codex just launched."
atp-claude code,claude code vs gemini cli,,,ATP,Comparison,High,"NEW comp. Google's CLI tool. Direct competitor comparison."
atp-claude code,claude code vs chatgpt,,,ATP,Comparison,Medium,"Broader comparison. Different products but people search this."
atp-claude code,claude code vs claude,,,ATP,Explainer,High,"Same confusion as 'claude ai vs claude code'. People don't know the difference."
atp-claude code,claude code with bedrock,,,ATP,Tutorial,Medium,"AWS Bedrock integration. Enterprise angle."
atp-claude code,claude code for students,,,ATP,Use Case,Medium,"Education angle. Fold with 'claude ai for students'."
atp-claude code,claude code for beginners,,,ATP,Tutorial,Medium,"Beginner guide. Fold with 'claude ai for beginners'."
atp-claude code,claude code for dummies,,,ATP,Tutorial,Low,"Same intent as beginners. Fold in."
atp-claude code,can claude code generate images,,,ATP,Feature Explainer,Medium,"Fold into main 'can claude generate images' post."
atp-claude code,can claude code read files,,,ATP,Feature Explainer,Low,"Basic capability. Fold into a 'what can claude code do' overview."
atp-claude code,can claude code edit files,,,ATP,Feature Explainer,Low,"Basic capability. Fold into same overview."
